地震時間	經度	緯度	規模	深度
2020/10/17 23:03	120.38	23.28	5.31	15.8
2020/10/17 20:07	120.38	23.28	4.26	13.6
2020/10/17 09:16	121.68	24.02	4.44	39.29
2020/10/17 05:06	120.24	23.08	4.04	17.42
2020/10/12 23:39	121.9	24.51	4.87	10.92
2020/10/11 20:39	121.67	23.92	4.32	40.26
2020/10/7 00:54	121.69	22.53	4.02	23.37
2020/10/6 16:37	121.2	23.15	4.11	10.29
2020/10/5 10:05	120.82	23.2	4.58	6.57
2020/10/4 03:46	120.83	24.21	4.2	27.24
2020/9/30 12:37	122.1	24.84	6.02	105.95
2020/9/29 09:14	121.02	22.37	5.08	11.67
2020/9/29 06:17	121	22.36	4.02	13.28
2020/9/29 04:50	121.02	22.38	5.37	11.5
2020/9/29 03:05	121.02	22.39	4.49	10.97
2020/9/28 03:22	121.35	22.39	4.3	16.53
2020/9/27 03:05	121.39	22.39	4.37	19.41
2020/9/25 15:06	121.86	23.6	4.58	32.46
2020/9/23 18:20	121.53	23.21	4.18	33.41
2020/9/23 12:00	121.5	23.32	4.9	32.81
2020/9/21 07:54	121.58	22.43	4.72	9.44
2020/9/19 13:01	120.88	22.93	4.25	5.65
2020/9/17 09:37	121.33	23.05	4.99	19.11
2020/9/5 03:52	120.82	23.2	4.23	6.72
2020/9/2 16:44	121.21	22.76	4.72	32.23
2020/8/31 09:21	121.61	23.76	4.37	35.54
2020/8/28 21:03	120.96	22.44	4.16	19.86
2020/8/19 16:17	121	22.62	4.29	7.48
2020/8/19 11:13	120.39	23.22	4.75	10.89
2020/8/19 08:41	120.39	23.23	4.31	10.64
2020/8/19 08:33	120.39	23.23	4.55	10.99
2020/8/12 03:50	121.31	22.78	4.11	31.17
2020/8/11 13:29	121.2	21.76	4.66	47.39
2020/8/11 09:01	121.93	24.72	4.87	73.88
2020/8/9 07:24	121.04	22.98	4	10.13
2020/7/28 06:08	121.67	25.03	4.27	137.3
2020/7/26 20:52	122.42	24.26	6.24	53.59
2020/7/26 05:33	120.75	24.02	4.18	25.61
2020/7/20 05:06	120.65	23.95	4.01	26.2
2020/7/15 04:40	121.72	24.46	4.04	38.23
2020/7/9 12:12	121.67	24.15	4.74	28.74
2020/7/9 11:24	121.68	24.15	4.93	29.38
2020/7/9 00:54	121.27	23.25	4.63	23.21
2020/7/7 16:03	120.84	23.05	4.02	5.07
2020/7/5 07:28	121.65	24.24	4.05	16.71
2020/7/4 21:31	121.11	23.87	4.11	29.36
2020/6/30 20:17	121.58	23.18	4.56	38.64
2020/6/29 20:52	122.34	24.31	5.32	64.59
2020/6/29 13:08	121.62	23.87	4.77	41.98
2020/6/27 07:34	120.84	23.05	4.34	4.94
2020/6/27 07:27	120.84	23.05	5.05	5.37
2020/6/24 00:25	121.83	24.09	4.18	6.51
2020/6/22 15:48	120.82	23.02	4	4.26
2020/6/21 21:19	120.83	23.04	4.21	2.76
2020/6/17 07:17	121.97	24.63	4.88	61.44
2020/6/15 02:10	121.64	24.4	4.42	40.34
2020/6/14 04:18	122.44	24.26	6.09	55.55
2020/6/12 08:21	121.69	24.01	4.75	31.42
2020/6/11 09:38	122.39	24.5	5.43	90.79
2020/6/8 22:34	121.11	22.53	4.38	29.54
2020/6/7 09:49	121.64	24.13	4.97	12.1
2020/5/30 21:02	121.55	24.1	4.89	17.53
2020/5/30 08:58	120.41	22.73	4.08	24.63
2020/5/30 06:58	121.61	24.75	4.13	71.71
2020/5/29 17:29	120.81	23.23	4.34	3.92
2020/5/29 03:34	120.76	23.65	4.65	14
2020/5/25 06:32	121.94	24.34	4.12	26.34
2020/5/25 06:31	121.95	24.36	5.24	23.78
2020/5/20 00:50	120.52	23.11	4.11	9.99
2020/5/18 06:53	121.69	24.03	4.59	31.26
2020/5/14 22:57	121.62	23.82	4.13	35.26
2020/5/9 13:45	121.69	23.85	4.5	42.44
2020/5/6 21:00	121.66	24.17	4.05	15.22
2020/5/6 11:25	121.67	23.95	4.12	42.27
2020/5/3 11:24	121.57	23.24	5.97	40.25
2020/4/27 19:58	120.92	23.11	4.4	2.43
2020/4/27 19:16	120.91	23.11	4.42	2.7
2020/4/27 13:51	121.17	22.87	4.12	26.91
2020/4/22 21:03	120.91	23.11	4.19	3.34
2020/4/21 23:02	121.75	24.08	4.55	38.55
2020/4/12 19:36	122.2	24.06	5.29	45.44
2020/4/10 19:52	121.72	23.9	4.06	18.16
2020/4/9 07:49	121.86	24.26	4.86	25.93
2020/4/2 10:52	120.46	23.09	4.04	10.22
2020/3/15 09:52	120.57	23.14	4.34	13.26
